location,career_level,experience_level,education_level,employment_type,job_function,company_process_time,company_industry,Salary Level
13,4,1,15,4,21,18,30,2
1,4,3,15,4,1,22,21,2
4,3,1,8,4,0,29,30,1
9,3,2,15,4,22,29,7,2
4,2,2,18,4,37,29,23,2
23,3,1,18,4,59,29,3,1
1,2,5,9,4,21,21,30,2
4,4,2,8,4,12,5,20,2
1,2,1,15,4,35,29,57,2
4,3,1,10,4,12,21,12,1
19,3,1,18,4,52,29,21,2
4,3,1,8,4,12,4,20,1
1,3,1,15,4,7,29,7,1
9,1,1,15,4,38,7,2,1
4,3,1,18,4,9,29,30,0
0,3,1,18,4,15,29,37,1
16,1,1,3,0,9,26,29,1
7,2,5,9,4,37,29,47,2
9,2,3,9,4,28,22,28,2
4,3,2,18,4,12,23,47,1
1,3,2,13,4,7,20,30,2
20,3,1,8,4,12,29,28,2
4,3,1,15,4,1,28,55,1
4,3,1,18,3,34,29,39,0
7,2,3,16,4,0,19,29,2
4,4,4,4,4,12,28,23,2
4,2,3,9,4,37,29,43,2
1,3,2,15,4,4,29,21,1
4,4,3,9,4,12,28,23,2
9,3,1,3,4,9,1,28,1
9,1,1,18,4,23,29,24,1
4,3,2,9,4,34,29,43,2
4,1,1,18,4,41,29,50,1
4,4,2,9,4,57,1,57,1
33,0,5,16,4,37,29,28,2
4,3,1,9,4,0,29,21,1
4,3,2,15,4,38,27,41,0
9,4,3,9,4,57,29,47,2
4,2,2,13,4,2,30,3,2
4,3,1,6,4,4,29,57,0
4,3,2,9,4,0,29,30,1
8,3,5,15,4,7,29,21,2
4,3,1,15,0,10,29,53,1
6,4,1,9,4,0,12,15,1
4,2,4,9,4,43,24,41,2
9,4,2,18,4,10,29,30,2
4,3,1,3,4,56,29,57,0
4,4,3,9,3,37,6,2,2
7,3,5,15,0,23,15,48,2
33,3,2,16,4,35,29,28,2
4,3,1,9,4,13,29,50,2
0,3,1,8,4,37,21,43,1
7,2,10,18,4,66,29,30,2
4,3,1,3,4,41,29,50,1
32,3,2,9,4,40,27,12,1
25,3,2,9,4,41,29,50,2
9,3,3,13,4,0,29,30,1
4,1,1,3,0,38,28,43,0
7,4,5,18,4,57,29,30,2
4,3,1,18,0,54,29,51,0
4,3,1,18,0,26,25,29,1
4,3,2,8,4,65,22,57,1
4,3,2,15,4,54,17,50,1
4,4,5,9,4,37,28,48,1
4,3,1,15,4,41,9,12,1
4,3,3,9,4,12,29,23,2
4,2,5,10,4,37,29,18,1
1,4,5,9,0,22,27,47,2
4,3,1,9,4,0,29,30,1
33,2,5,8,4,37,29,28,2
4,4,5,9,4,41,29,3,1
32,3,2,8,0,3,28,41,0
4,3,2,15,4,34,21,43,1
4,3,3,18,0,7,30,21,1
4,1,1,15,4,56,4,57,1
4,2,3,18,4,37,24,1,2
28,1,1,15,4,57,29,45,2
9,3,1,9,4,41,29,24,2
4,3,2,9,4,3,16,20,1
27,3,1,18,4,34,29,28,1
1,2,6,9,4,7,29,30,2
4,3,2,9,4,12,28,29,1
4,3,1,18,4,14,29,57,1
7,3,1,9,4,37,27,20,2
31,3,2,9,4,38,14,2,1
4,3,1,9,4,34,29,39,1
9,2,2,10,4,0,4,40,2
4,3,2,15,4,39,25,57,1
1,2,5,10,4,39,19,29,2
4,2,3,10,4,1,29,1,2
4,4,3,9,4,57,19,50,1
4,4,1,9,4,3,29,41,1
4,4,5,9,4,10,29,53,1
4,3,3,15,4,34,21,57,1
7,3,2,15,4,39,29,57,2
4,1,1,9,2,57,24,0,0
7,3,2,13,4,37,30,24,2
7,3,3,15,4,55,29,24,2
32,3,1,15,0,36,28,53,0
9,3,1,15,4,22,9,30,1
4,3,2,9,4,37,17,47,1
4,4,3,9,4,57,29,36,1
4,3,1,16,4,12,29,23,2
1,2,3,10,4,0,29,3,2
1,3,2,18,4,59,21,3,2
4,3,3,15,4,39,26,29,1
4,4,4,18,4,12,29,23,2
4,3,2,18,4,0,29,34,0
4,2,5,9,4,1,27,1,2
4,4,2,9,4,50,25,28,1
9,1,1,9,4,3,20,2,2
12,4,5,18,4,65,28,45,2
4,3,5,8,4,39,23,19,2
3,4,3,9,4,57,7,23,2
4,3,1,9,4,10,17,20,2
7,3,1,13,0,37,29,3,1
7,4,2,9,4,55,29,28,1
4,2,10,9,4,41,29,50,1
1,3,1,18,4,34,29,55,2
7,4,5,9,4,28,11,50,2
20,3,1,8,4,12,29,28,2
4,2,8,8,4,41,29,57,2
9,2,3,18,4,48,29,22,2
1,3,2,15,4,39,29,29,2
4,0,2,15,4,54,29,43,2
4,4,2,15,4,39,29,29,2
0,2,5,18,4,0,21,50,2
4,3,3,8,4,23,29,57,0
0,2,2,15,4,37,29,30,2
7,3,2,8,4,42,28,47,2
0,4,5,9,4,39,22,12,2
11,3,1,15,4,41,3,1,1
4,3,2,18,4,0,24,55,1
9,4,3,15,4,37,29,48,1
1,3,2,15,4,0,29,36,1
4,4,1,8,4,9,26,57,1
11,3,2,18,4,12,27,45,2
4,2,2,9,4,62,16,53,1
27,3,2,13,0,40,29,12,1
4,2,3,9,4,2,27,3,2
7,3,1,15,0,42,25,57,2
4,3,2,13,4,56,20,47,0
1,3,1,8,4,21,29,30,1
7,4,5,9,4,7,29,48,2
4,3,2,9,4,26,28,22,1
13,3,1,16,4,41,3,1,1
4,3,2,9,4,39,29,55,1
8,3,2,13,4,42,7,30,2
1,3,2,13,4,22,29,50,1
2,1,1,3,0,3,16,41,1
4,3,1,15,4,12,30,21,1
4,3,3,15,4,9,29,28,0
4,3,1,18,4,39,29,30,0
8,2,5,9,4,4,29,36,2
9,3,3,16,0,12,16,20,2
8,1,1,9,4,38,26,41,2
4,3,2,3,4,37,29,55,0
7,2,3,9,4,41,29,50,2
4,3,1,18,4,54,29,41,1
25,3,1,10,4,3,23,41,1
4,3,1,18,4,33,23,39,1
4,3,1,18,0,42,29,4,0
17,4,2,9,0,32,25,29,1
9,3,1,9,4,28,29,30,1
7,3,2,15,4,37,29,55,2
4,3,3,9,4,0,29,22,1
4,3,2,18,4,57,29,30,0
7,3,1,18,2,12,29,23,0
4,1,1,15,4,57,15,22,0
1,3,3,16,0,64,26,26,2
13,4,2,15,0,41,26,24,1
1,3,1,15,4,34,29,51,1
4,3,3,9,4,1,29,30,1
0,3,1,6,0,65,27,3,1
4,3,3,15,4,41,28,23,1
7,0,5,11,0,58,29,57,2
4,3,7,9,4,7,29,23,1
4,3,1,18,4,41,21,50,1
7,3,1,9,4,37,17,41,2
4,4,2,9,0,41,29,47,1
4,4,1,0,4,45,29,1,1
9,3,1,15,4,41,3,1,2
23,3,1,18,4,59,29,3,1
9,3,2,15,4,12,29,23,2
7,3,1,18,4,41,27,30,1
4,1,1,15,6,28,25,0,0
4,2,10,9,4,40,23,29,2
4,4,3,15,4,36,29,50,1
4,2,5,9,4,40,28,29,2
1,3,1,3,4,41,29,53,1
7,3,2,18,0,57,24,30,2
7,3,1,3,4,39,20,7,1
4,3,3,15,4,56,25,29,1
7,4,5,15,4,29,25,29,2
7,3,1,9,0,37,28,55,2
4,3,1,13,4,39,29,24,1
10,3,2,9,4,40,27,12,2
7,3,2,3,4,28,16,30,2
0,4,3,9,4,12,21,18,2
7,4,2,18,4,24,4,3,2
4,3,1,3,4,35,29,50,0
4,3,1,9,4,57,29,20,1
9,4,1,18,4,37,11,7,2
4,3,2,18,4,12,2,23,2
7,3,1,9,4,39,24,23,2
27,3,1,8,4,42,28,4,1
4,3,2,18,4,33,24,39,0
7,4,5,9,0,57,29,21,2
4,2,3,18,4,37,24,1,2
4,1,1,15,4,41,20,39,0
1,2,3,9,4,4,29,36,2
4,2,5,9,4,37,27,30,2
4,4,2,9,4,57,9,22,2
3,3,2,13,4,52,24,30,2
7,3,1,15,4,55,28,52,1
7,3,1,9,4,39,29,30,2
4,2,3,16,4,37,29,50,2
4,4,2,15,4,0,29,24,1
4,1,1,18,4,38,29,41,1
9,2,5,18,4,55,4,4,2
4,1,1,18,2,56,29,41,0
14,4,2,3,0,7,29,30,1
9,3,3,15,4,40,21,12,2
33,2,2,13,4,9,29,30,1
20,4,3,8,4,0,29,28,1
4,3,1,9,4,12,18,3,1
7,3,1,8,4,37,30,48,2
4,4,2,10,4,28,29,30,1
4,3,3,16,0,12,15,29,2
7,3,1,12,0,17,29,18,2
4,3,1,9,4,1,29,57,1
4,3,1,15,4,19,28,30,1
7,3,1,6,4,41,24,50,2
7,3,1,3,4,56,29,11,2
4,2,3,15,4,41,20,18,1
0,4,5,9,4,41,26,29,2
33,3,2,15,4,39,25,57,1
4,2,3,18,4,37,2,24,2
4,2,10,9,4,59,26,29,2
4,2,5,18,0,0,29,30,2
1,2,5,15,4,28,29,30,2
0,3,1,15,4,42,29,6,2
4,3,3,9,4,12,30,23,2
1,3,2,18,4,54,29,24,2
25,3,1,15,4,19,29,1,0
7,3,1,15,4,39,27,30,2
4,1,1,18,4,38,29,41,1
9,4,3,9,4,39,26,29,2
9,4,2,13,4,9,29,28,2
4,1,1,8,4,13,3,22,1
7,3,1,15,0,12,29,20,2
7,4,3,9,4,12,29,38,2
7,3,1,9,4,33,13,39,2
4,4,2,15,0,0,30,41,1
4,3,1,15,4,56,29,50,1
4,3,2,18,4,54,29,30,0
4,3,1,16,4,32,16,41,1
7,3,1,9,4,38,26,41,2
32,3,2,8,4,2,29,41,0
4,0,5,10,4,57,29,30,2
7,3,3,9,4,39,29,29,2
4,3,3,18,4,37,10,2,2
7,3,2,8,4,37,12,39,2
4,4,1,18,0,28,29,57,0
4,3,3,6,4,56,28,4,1
4,2,15,9,4,28,28,3,2
4,0,5,10,4,57,29,30,2
4,3,2,9,0,10,21,29,1
4,3,1,8,0,10,24,20,0
8,3,1,15,4,41,20,4,2
4,3,1,8,4,54,29,3,0
4,2,8,10,4,12,29,30,2
27,3,1,8,4,39,21,40,1
4,3,3,9,4,0,22,48,1
4,3,2,18,4,61,29,7,1
4,1,1,3,4,41,28,12,0
7,3,2,18,4,41,29,0,2
4,1,1,3,4,22,29,28,0
8,2,5,15,0,24,29,30,2
4,4,5,9,4,41,29,3,1
1,4,3,18,4,26,28,23,2
4,2,8,9,4,22,28,29,2
4,3,1,18,4,12,29,50,1
8,4,1,18,4,18,29,18,1
4,3,1,9,4,17,29,2,1
2,1,1,3,0,3,16,41,1
4,3,1,3,4,9,29,28,0
4,3,1,8,4,0,29,0,0
7,3,2,18,4,42,29,53,2
8,1,1,8,4,41,12,47,1
7,3,2,9,4,38,14,2,2
7,3,1,8,4,37,17,29,2
4,3,2,16,4,37,20,23,2
4,3,3,8,4,0,16,3,0
4,3,2,15,0,41,29,20,1
8,0,2,9,4,26,28,29,2
1,3,1,8,4,56,9,12,1
0,3,10,18,4,7,29,21,2
8,4,2,13,4,41,26,50,2
7,2,5,9,4,10,14,47,2
4,3,2,18,4,12,7,20,1
33,2,5,13,4,28,29,30,2
4,3,3,9,4,21,29,50,1
9,2,2,18,4,35,29,24,2
4,3,2,18,4,53,29,28,1
4,3,1,15,0,29,17,18,1
1,3,2,18,4,55,29,18,2
4,3,2,9,4,2,28,55,1
7,3,1,3,0,9,29,28,0
4,3,1,15,4,33,3,39,1
4,3,1,10,4,12,29,23,1
9,3,2,13,0,41,29,18,2
0,3,1,3,4,41,29,28,1
8,3,3,9,4,32,22,37,2
4,4,4,16,4,12,25,29,2
1,3,2,13,4,10,27,12,2
7,4,2,13,4,28,29,30,2
4,3,1,3,4,9,29,30,0
4,2,5,9,4,57,29,50,2
9,3,1,15,0,24,27,30,2
7,4,2,18,4,47,5,47,2
4,3,2,4,4,41,29,50,1
1,3,1,18,4,56,28,50,1
7,3,2,15,4,23,28,21,2
4,3,2,9,4,38,14,2,0
3,3,1,15,4,12,1,23,2
4,4,3,9,4,41,24,40,2
9,1,1,9,4,3,20,2,2
4,3,12,16,4,59,19,29,2
4,3,3,9,4,18,29,18,1
31,3,1,18,4,37,28,29,1
7,1,1,18,0,41,28,43,1
4,3,2,9,4,0,27,29,1
4,3,2,10,4,12,29,24,2
4,3,1,9,4,12,24,20,1
9,3,1,9,3,33,29,39,2
4,1,1,8,4,3,21,41,0
4,3,5,9,4,0,22,23,1
4,0,7,9,4,37,22,28,2
4,3,1,8,4,54,29,18,1
4,3,3,18,4,56,1,22,1
1,3,2,3,4,9,29,28,1
1,3,1,8,4,56,29,18,1
9,3,1,8,4,34,28,57,1
4,3,3,13,4,7,29,21,1
4,3,1,15,4,7,28,36,0
4,4,3,9,4,7,9,12,1
20,2,3,9,4,41,17,47,2
0,4,3,9,4,12,21,18,2
4,4,2,18,4,39,29,42,1
0,4,5,9,4,39,22,12,2
4,3,1,9,4,12,17,20,1
4,3,1,9,4,0,29,57,1
1,4,3,18,4,0,5,30,2
4,3,1,9,4,12,19,23,2
7,0,5,10,4,0,29,57,2
4,4,3,10,4,53,12,30,2
4,3,2,9,4,0,29,39,1
4,3,2,13,4,37,24,1,1
4,2,5,10,4,7,29,21,2
4,3,1,9,4,22,29,45,1
20,3,1,9,4,39,28,18,1
0,3,2,13,4,56,2,57,1
4,4,5,18,4,14,29,30,1
1,3,2,3,4,41,29,3,2
8,3,2,9,4,12,29,26,2
1,4,2,18,4,37,19,33,2
7,3,3,15,4,61,26,12,2
4,3,1,18,4,41,5,53,1
9,1,1,3,0,42,29,24,1
13,3,1,15,4,41,3,1,1
11,3,2,9,4,12,27,45,2
7,4,5,9,4,25,5,25,2
4,1,1,18,4,38,29,41,1
4,1,1,3,4,3,16,41,0
9,2,3,9,4,41,28,47,2
1,3,3,18,4,53,29,57,2
0,1,1,9,4,28,29,0,1
7,3,1,15,4,40,29,12,2
9,3,1,9,4,33,29,39,1
7,3,1,8,4,41,16,41,2
3,4,1,18,4,0,29,1,1
4,3,1,8,4,12,16,20,1
4,3,2,18,4,11,29,7,0
7,3,1,15,4,65,28,30,2
8,3,1,8,4,41,16,41,2
1,3,1,0,4,27,29,39,2
1,3,1,18,4,34,29,40,2
25,2,3,9,4,41,29,0,2
1,3,1,8,4,3,23,41,1
13,3,5,18,4,59,29,21,2
4,4,3,8,4,35,29,28,0
32,3,1,9,0,21,29,43,0
4,4,3,18,4,38,24,1,2
17,4,2,8,4,9,24,28,1
7,3,7,6,3,23,14,48,1
4,3,2,18,4,37,21,50,1
8,4,1,15,4,28,29,55,1
25,1,1,15,4,38,7,2,1
4,3,1,9,4,12,16,2,1
9,3,1,8,4,38,28,41,1
7,4,1,18,4,9,1,28,2
4,2,5,9,4,4,28,36,2
4,3,1,15,4,9,9,48,0
4,3,2,9,4,54,22,57,1
4,3,1,16,4,12,7,41,1
1,3,2,3,4,9,29,28,1
4,3,2,18,4,34,29,28,0
33,0,1,8,4,58,29,28,2
22,3,3,9,4,25,29,50,2
4,3,3,9,4,12,21,23,1
4,3,2,18,4,22,28,36,0
9,3,2,15,4,12,28,20,2
9,3,2,15,4,39,29,12,2
20,3,5,8,4,12,29,28,2
4,2,3,16,4,37,18,3,1
4,4,2,10,4,0,30,42,1
4,4,5,15,4,1,29,57,1
27,3,2,9,0,0,17,12,1
9,3,1,15,0,22,29,21,2
20,0,3,9,4,9,29,28,2
4,3,1,9,4,57,29,57,1
4,2,5,9,4,57,15,40,2
7,3,2,15,4,26,28,55,2
4,1,1,18,4,41,29,50,1
33,3,1,18,4,41,29,28,1
33,3,3,18,4,10,20,30,2
4,3,1,18,0,0,29,50,1
9,3,1,8,4,65,29,22,1
4,3,1,13,0,14,29,41,1
4,3,1,3,4,54,29,50,1
4,4,1,8,0,22,28,28,1
4,3,2,15,4,8,29,55,0
7,3,2,15,4,26,28,55,2
4,3,3,9,4,14,26,2,1
9,1,1,8,3,41,6,24,0
4,4,1,9,4,41,29,30,1
4,2,5,16,4,39,19,29,2
13,3,1,15,4,41,3,1,1
4,3,1,15,4,0,11,50,1
30,4,3,9,4,1,29,47,1
9,3,1,18,4,57,29,48,1
20,3,5,8,4,12,29,28,2
4,3,3,9,4,0,18,3,0
16,3,1,8,4,41,16,41,1
28,3,1,9,4,0,28,45,2
20,3,3,8,4,12,29,28,1
4,3,2,9,4,4,29,36,1
4,3,2,9,0,10,28,53,2
4,3,1,8,4,41,22,57,0
4,4,2,15,4,41,29,12,2
30,3,2,13,4,0,19,41,1
1,3,1,9,4,0,29,18,2
4,1,1,18,4,35,28,30,0
7,3,1,18,4,34,1,18,1
7,2,3,15,4,55,29,25,2
3,3,1,9,4,57,29,28,1
4,2,5,13,4,9,17,28,1
9,1,1,9,4,3,20,2,2
4,3,1,9,4,37,29,30,1
7,4,1,16,4,34,29,3,2
7,3,1,4,4,54,29,57,1
4,3,2,18,4,62,25,31,1
7,3,1,3,0,9,29,28,0
4,4,2,9,4,12,29,30,1
4,3,4,8,4,59,7,12,1
4,4,2,9,4,35,25,22,1
7,4,3,15,4,21,7,53,2
4,3,2,9,4,13,29,8,1
9,4,2,18,4,41,29,24,1
9,3,1,8,4,35,29,24,1
4,2,5,9,4,64,29,4,2
8,4,3,8,4,21,20,52,2
4,3,2,16,4,56,24,50,1
7,3,2,15,4,21,29,30,2
4,1,1,18,0,19,25,29,1
7,3,3,3,0,15,28,30,2
7,1,1,8,4,7,29,12,1
7,3,3,6,4,59,29,33,2
4,3,3,18,4,22,2,36,1
27,4,2,9,0,0,12,57,1
7,3,2,9,4,0,29,52,2
2,2,3,16,4,46,29,45,2
4,3,2,15,4,56,29,21,1
4,3,3,3,4,23,28,23,1
4,3,1,8,0,9,28,50,0
4,3,3,8,4,0,29,24,1
16,3,1,2,4,33,29,39,2
1,3,1,15,4,13,29,30,1
4,4,3,9,4,57,29,30,1
7,3,1,8,4,39,12,39,2
32,3,2,15,4,38,27,41,1
8,4,3,8,4,24,5,34,2
4,3,1,15,4,12,29,53,1
4,3,1,15,4,31,29,53,1
4,2,5,11,4,12,2,23,2
8,2,1,9,4,26,17,29,2
8,4,3,9,4,34,1,39,2
4,3,2,9,4,10,29,20,1
0,3,1,18,0,53,29,56,0
0,3,4,13,4,0,26,20,2
4,3,2,13,4,41,29,30,0
4,3,1,8,4,41,29,29,0
9,2,1,5,4,2,29,24,2
9,3,1,3,0,41,28,37,1
9,3,1,3,4,20,29,28,1
33,2,2,18,4,42,29,28,1
7,3,1,3,0,28,28,30,2
4,3,1,13,4,10,18,8,1
25,4,1,16,4,22,27,53,1
1,3,3,18,4,56,29,57,1
7,4,5,9,4,21,29,30,2
7,4,3,13,4,14,27,40,2
4,4,2,15,4,12,20,23,1
4,2,3,9,4,0,23,57,1
4,3,1,3,4,9,29,28,0
13,3,1,16,4,41,3,1,1
9,3,2,9,4,37,29,31,2
7,4,3,15,4,41,29,55,2
4,3,1,15,4,12,2,22,1
32,3,1,6,0,41,29,30,1
7,4,1,15,4,9,3,24,2
